AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
"Bigelow K, Boggs C","American Samoa longline effort, catch and CPUE (kept catch) by the entire fleet in all areas, and by a subset of the fleet in the Large Vessel Protected Areas (LVPAs).",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-016, 5 p",FRMD,Internal Report,,
"Kawamoto K, Sender K",Assessment of fishing activities by non-longline federal permit holders in the U.S. Exclusive Economic Zone around the U.S. Pacific Islands,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-012, 14 p","FBSAB, FRMD",Internal Report,,
Wurth T,"Hawaiian monk seal use of the North Shore of Oahu, between Kaiaka Bay and Puaena Point",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-011, 2 p",PSD,Internal Report,,
McCracken M,American Samoa longline fishery protected species takes and cetaceans takes resulting in a classification of dead or serious injury for years 2010 through 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-010, 1 p","FBSAB, FRMD",Internal Report,,
Murakawa SKK,Hawaiian green sea turtle datasets for deriving estimates of demographic parameters,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-009, 2 p",PSD,Internal Report,,
"Francke D, Turtle Research Program Staff","Marine turtle strandings in the Hawaiian Islands, January - December 2014",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-008, 21 p",PSD,Internal Report,,
"Bigelow K, Dowdell F, Sender K",Assignment of American Samoa longline sets to the American Samoa EEZ,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-007, 2 p","FBSAB, FRMD",Internal Report,,
Van Houtan KS,Turtle mark-recapture data (1977-2012) used in 2014 Pacific Science publication,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-006, 1 p",PSD,Internal Report,,
McCracken M,American Samoa longline fishery bony fish and shark bycatch for years 2010 through 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-005, 1 p","FBSAB, FRMD",Internal Report,,
"Graham KS, Boggs CH, DeMartini EE, Schroeder RE, Trianni MS",Status review report: humphead wrasse (Cheilinus Undulatus),2015,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-48, 126 p. + Appendices. doi:10.7289/V55X26ZR","FRMD, SOD",Tech Memo,SCIOPS,https://doi.org/10.7289/V55X26ZR
Hospital J,Yellowfin tuna commercial minimum size alternatives: Insights from Honolulu consumer markets,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-014, 14 p",SE,Internal Report,economics,
Hospital SB,"Western Pacific Creel Survey Program data summary and analysis : Guam, the Commonwealth of the Northern Mariana Islands, and American Samoa",2015,"Pacific Islands Fisheries Science Center Administrative Report H-15-06C, 200 p. doi:10.7289/V5T151P5",,Administrative Report,,https://doi.org/10.7289/V5T151P5
"Sundberg M, Kobayashi D, Kahng S, Karl S, Zamzow J",The search for juvenile bumphead parrotfish (Bolbometopon muricatum) in the lagoon at Wake Island,2015,"Pacific Islands Fisheries Science Center Administrative Report H-15-02, 11 p. doi:107289/V57D2S31",FBSAB,Administrative Report,,
Pacific Islands Fisheries Science Center,Science and technology to promote sustainable fisheries in Southeast Asia and the Coral Triangle,2015,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-15-002, 66 p",CRED,"Report, Special Publication",,
"Balazs GH, Van Houtan KS, Hargrove SA, Brunson SM, Murakawa KK",A review of the demographic features of Hawaiian Green Turtles (Chelonia mydas),2015,Chelonian Conservation and Biology 14(2): 119-129,PSD,Journal,,
"Work TM, Balazs GH, Summers TM, Hapdei JR, Tagarino AP",Causes of mortality in green turtles from Hawaii and the insular Pacific exclusive of fibropapillomatosis,2015,Diseases of Aquatic Organisms 115: 103-110. doi:10.3354/dao02890,PSD,Journal,,https://doi.org/10.3354/dao02890
"Kamikawa KT, Cruz E, Essington TE, Hospital J, Brodziak JKT, Branch TA",Length-weight relationships for 85 fish species from Guam,2015,Journal of Applied Ichthyology. doi:10.1111/jai.12877,"SOD, SE, FRMD",Journal,Economics,https://doi.org/10.1111/jai.12877
"National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Pacific Islands Fisheries Science Center",Submission of 2013-2014 U.S. fishery statistics for the western and central Pacific Ocean and other areas to the Western and Central Pacific Fisheries Commission,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-010, 11 p.",FRMD,Data Report,,https://doi.org/10.7289/V54M92JZ
"Woodworth-Jefcoats PA, Polovina JJ, Howell EA, Blanchard JL",Two takes on the ecosystem impacts of climate change and fishing: Comparing a size-based and a species-based ecosystem model in the central North Pacific,2015,Progress in Oceanography. doi:10.1016/j.pocean.2015.04.004,EOD,Journal,,https://doi.org/10.1016/j.pocean.2015.04.004
"Van Houtan KS, Halley JM, Marks W",Terrestrial basking sea turtles are responding to spatio-temporal sea surface temperature patterns,2015,Biology Letters 11: 20140744. doi:10.1098/rsbl.2014.0744,PSD,Journal,,https://doi.org/10.1098/rsbl.2014.0744
"Saito T, Kurita M, Okamoto H, Uchida I, Parker D, Balazs G",Tracking male loggerhead turtle migrations around southwestern Japan using satellite telemetry,2015,Chelonian Conservation and Biology 14(1): 82-87. doi:10.2744/ccab-14-01-82-87.1,PSD,Journal,,https://doi.org/10.2744/ccab-14-01-82-87.1
"Lombardi-Carlson LA, Andrews AH","Age estimation and lead-radium dating of golden tilefish, Lopholatilus chamaeleonticeps",2015,Environmental Biology of Fishes 98: 1787-1801. doi:10.1007/s10641-015-0398-0,FBSAB,Journal,,https://doi.org/10.1007/s10641-015-0398-0
"Williams GJ, Gove JM, Eynaud Y, Zgliczynski BJ, Sandin SA",Local human impacts decouple natural biophysical relationships on Pacific coral reefs,2015,Ecography 38: 1-11. doi:10.1111/ecog.01353,CRED,Journal,,https://doi.org/10.1111/ecog.01353
"Gove J, Williams GJ, McManus MA, Clark SJ, Ehses JS, Wedding LM",Coral reef benthic regimes exhibit non-linear threshold responses to natural physical drivers,2015,Marine Ecology Progress Series 522: 33-48. doi:10.3354/meps11118,CRED,Journal,,https://doi.org/10.3354/meps11118
"Brodziak J, Mangel M, Sun Chi-Lu",Stock-recruitment resilience of North Pacific striped marlin based on reproductive ecology,2015,Fisheries Research 166: 140-150. doi:10.1016/j.fishres.2014.08.008 ,FBSAB,Journal,,https://doi.org/10.1016/j.fishres.2014.08.008
"Sundberg M, Humphreys R, Lowe MK, Cruz E, Gourley J, Ochavillo D",Status of life history sampling conducted through the commercial fisheries bio-sampling programs in the western Pacific territories of American Samoa and Guam and in the Commonwealth of the Northern Mariana Islands,2015,"Pacific Islands Fisheries Science Center Administrative Report H-15-08, 56 p. doi:10.7289/V5XD0ZP5",FRMD,Administrative Report,,https://doi.org/10.7289/V5XD0ZP5
"Alin SR, Brainard RE, Price NN, Newton JA, Cohen A, Peterson WT, DeCarlo EH, Shadwick EH, Noakes S, Bednarsek N","Characterizing the natural system: Toward sustained, integrated coastal ocean acidification observing networks to facilitate resource management and decision support",2015,Oceanography 28(2): 92-107. doi:10.5670/oceanog.2015.34,CRED,Journal,,https://doi.org/10.5670/oceanog.2015.34
"Montambault JR, Wongbusarakum S, Leberer T, Joseph E, Andrew W, Castro F, Nevitt B, Golbuu Y, Oldiais NW, Groves CR, Kostka W, Houk P",Use of monitoring data to support conservation management and policy decisions in Micronesia,2015,"Conservation Biology, 29(5), 1279-1289. doi:10.1111/cobi.12542",CRED,Journal,,https://doi.org/10.1111/cobi.12542
"Heenan A, Pomeroy R, Bell J, Munday PL, Cheung W, Logan C, Brainard R, Amri AY, Alino P, Armada N, David L, Rivera-Guieb R, Green S, Jompa J, Leonardo T, Mamauag S, Parker B, Shackeroff J, Yasin Z","A climate-informed, ecosystem approach to fisheries management",2015,Marine Policy 57: 182-192. doi:10.1016/j.marpol.2015.03.018,CRED,Journal,,https://doi.org/10.1016/j.marpol.2015.03.018
"DeMartini EE, Smith JE",Effects of fishing on the fishes and habitat of coral reefs,2015,"In: Mora C (ed.). Ecology of Fishes on Coral Reefs, p. 135-144. Cambridge University Press, 388 p",FBSAB,Book Chapter,,
"Andrews AH, Kerr LA",Validated age estimates for large white sharks of the northeastern Pacific Ocean: altered perceptions of vertebral growth shed light on complicated carbon 14 results,2015,Environmental Biology of Fishes 98: 971-978. doi:10.1007/s10641-014-0326-8 ,FBSAB,Journal,,https://doi.org/10.1007/s10641-014-0326-8
"MacNeil MA, Graham NAJ, Cinner JE, Wilson SK, Williams ID, Maina J, Newman S, Friedlander AM, Jupiter S, Polunin NVC, McClanahan TR",Recovery potential of the world's coral reef fishes,2015,Nature 520: 341-344. doi:10.1038/nature14358,CRED,Journal,,https://doi.org/10.1038/nature14358
"Murakawa, S","Main Hawaiian Islands marine turtle strandings, 1980 - September 2015",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-036, 1 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Kaloko-Honokohau National Historical Park, Hawaii",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-035, 3 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Pokai Bay, Oahu",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-034, 2 p",PSD,Internal Report,,
McCracken M,Assessment of incidental interactions with marine mammals in the Hawaii longline deep and shallow set fisheries from 2009 through 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-033, 1 p",FRMD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Wainiha Beach, Kauai",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-032, 2 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Punaluu, Oahu",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-031, 3 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Makena, Maui",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-030, 3 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Kealia, Kauai",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-029, 2 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Hanapepe Bay, Kauai",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-028, 1 p",PSD,Internal Report,,
Van Houtan KS,Impacts of incidental bycatch from the American Samoa-based longline fishery to marine turtle populations,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-027, 10 p",,Internal Report,,
"Kingma E, Bigelow K",Evaulation of proposed 2015 Territorial bigeye tuna catch and allocation limits,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-026_rev-1, 10 p",FRMD,Internal Report,,
"Bohlander J, Mercer T, Littnan Charles","Report on Hawaiian monk seal survey on Ni?ihau Island, May 2015",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-023, 9 p",PSD,Internal Report,,
FRMD,"Advice on U.S. longline bigeye tuna catch in relation to limits in effect for 2015: report provided July 1 based on preliminary data updated through June 25, 2015",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-022, 5 p",FRMD,Internal Report,,
"Murakawa, SKK",Fibropapillomatosis strandings in the Hawaiian Islands,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-021, 1 p",PSD,Internal Report,,
"Ma, H",Catch and effort estimate updates for major pelagic species from the Hawaii Marine Recreational Survey,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-020, 5 p",FRMD,Internal Report,,
"Murakawa, SKK","West Hawaii Island sea turtle strandings, 1985-2015",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-019, 1 p",PSD,Internal Report,,
"Murakawa, SKK","Annual number of green turtles nesting at East Island, French Frigate Shoals",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-018, 1 p",PSD,Internal Report,,
"Wurth, T","Hawaiian monk seal use of Kahana Bay, Oahu",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-017, 1 p",PSD,Internal Report,,
Parrish FA,"Settlement, colonization, and succession patterns of gold coral Kulamanamana haumeaae in Hawaiian deep coral assemblages",2015,Marine Ecology Progress Series 533: 135-147. doi:10.3354/meps11390,PSD,Journal,,https://doi.org/10.3354/meps11390
"Ma H, Hamm D",Results of a pilot study to improve intercept surveys in the Hawaii marine recreational fishery,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-009, 20 p. + Appendices. doi:10.7289/V5XG9P4S",FRMD,Data Report,,https://doi.org/10.7289/v5xg9p4s
"Oleson EM, Baumann-Pickering S, Sirovic A, Merkens KP, Munger LM, Trickey JS, Fisher-Pool P",Analysis of long-term acoustic datasets for baleen whales and beaked whales within the Mariana Islands Range Complex (MIRC) for 2010 to 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-002, 19 p. doi:10.7289/V5CC0XPF",PSD,Data Report,,https://doi.org/10.7289/V5CC0XPF
"Heenan A, McCoy K, Asher J, Ayotte P, Gorospe K, Gray A, Lino K, Zamzow J, Williams I","Ecological monitoring 2014 - stationary point count surveys of reef fishes and benthic habitats of the Northwestern Hawaiian Islands, Mariana Islands, and Wake Atoll",2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-001, 101 p. doi:10.7289/V5GT5K6B",CRED,Data Report,,https://doi.org/10.7289/V5GT5K6B
"Johanos TC, Harting AL, Wurth TL, Baker JD",Range-wide patterns in Hawaiian monk seal movements among islands and atolls,2015,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-44, 26 p. doi:10.7289/V5FT8J02",PSD,Tech Memo,,https://doi.org/10.7289/v5ft8j02
"Ayotte P, McCoy K, Heenan A, Williams I, Zamzow J",Coral Reef Ecosystem Program standard operating procedures: data collection for rapid ecological assessment fish surveys,2015,"Pacific Islands Fisheries Science Center Administrative Report H-15-07, 33 p. doi:10.7289/V5SN06ZT","ESD, CRED",Administrative Report,,https://doi.org/10.7289/v5sn06zt
"Weijerman M, Fulton EA, Kaplan IC, Gorton R, Leemans R, Mooij WM, Brainard RE",An integrated coral reef ecosystem model to support resource management under a changing climate,2015,PLoS ONE 10(12): e0144165. doi:10.1371/journal.pone.0144165,"ESD, CRED",Journal,,https://doi.org/10.1371/journal.pone.0144165
McCracken M,Hawaii deep-set longline fishery bony fish and shark bycatch for years 2011 through 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-004, 1 p","FBSAB, FRMD",Internal Report,,
"Hawaiian Monk Seal Research Program, Pacific Islands Fisheries Science Center, NOAA Fisheries",2014 MHI Hawaiian monk seal population summary,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-003, 8 p",PSD,Internal Report,,
"Hawaiian Monk Seal Research Program, Pacific Islands Fisheries Science Center, NOAA Fisheries",Population summary for NWHI monk seals in 2014,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-002, 29 p",PSD,Internal Report,,
Murakawa S,Summary of sea turtle strandings in Honolulu Harbor (1975-2014).,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-001, 4 p",PSD,Internal Report,,
"Hill MC, Oleson EM, Ligon AD, Martien KK, Archer FI, Baumann-Pickering S, Bendlin AR, Dolar L, Merkens KPB, Milette-Winfree A, Morin PA, Rice A, Robertson KM, Trickey JS, U AC, Van Cise A, Woodman SM","Cetacean monitoring in the Mariana Islands Range Complex, 2014",2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-003, 61 p. + Appendices. doi:10.7289/V56M34S8",PSD,Data Report,,https://doi.org/10.7289/v56m34s8
"McCoy K, Ayotte P, Gray A, Lino K, Schumacher B, Sudnovsky M",Coral reef fish biomass and benthic cover along the north coast of Timor-Leste based on underwater visual surveys in June 2013,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-004, 18 p. + Appendices. doi:10.7289/v5k0728f",CRED,Data Report,,https://doi.org/10.7289/v5k0728f
"Howell E, Hoover A, Benson SR, Bailey H, Polovina JJ, Seminoff JA, Dutton PH","Enhancing the TurtleWatch product for leatherback sea turles, a dynamic habitat model for ecosystem-based management",2015,Fisheries Oceanography 24(1): 57-68. doi:10.1111/fog.12092,EOD,Journal,,https://doi.org/10.1111/fog.12092
"Mcleod E, Szuster B, Tompkins E, Marshall N, Downing T, Wongbusarakum S, Patwardhan A, Hamza M, Anderson C, Bharwani S, Hansen L, Rubinoff P",Using Expert Knowledge to Develop a Vulnerability and Adaptation Framework and Methodology for Application in Tropical Island Communities,2015,"Coastal Management, 43(4), 365-382. doi:10.1080/08920753.2015.1046803",CRED,Journal,,https://doi.org/10.1080/08920753.2015.1046803
"Wongbusarakum S, Gombos M, Parker BA, Courtney C, Atkinson S, Kostka W",The Local Early Action Planning (LEAP) tool: Enhancing community-based planning for a changing climate,2015,"Coastal Management, 43(4), 383-393. doi:10.1080/08920753.2015.1046805",CRED,Journal,,https://doi.org/10.1080/08920753.2015.1046805
"Mcleod E, Margles weis S, Wongbusarakum S, Gombos M, Daze A, Otzelberger A, Hammill A, Agostini V, Cot DU, Wiggins M",Community-based climate vulnerability and adaptation tools: A review of tools and their applications,2015,"Coastal Management, 43(4), 439-458. doi:10.1080/08920753.2015.1046809",CRED,Journal,,https://doi.org/10.1080/08920753.2015.1046809
"Kotowicz DM, Allen SD",Results of a survey of CNMI and Guam residents on the Marianas Trench Marine National Monument,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-13-009, 55 p",SE,Data Report,,
"McDermid KJ, Lefebvre JA, Balazs GH","Nonnative seashore paspalum, Paspalum vaginatum (Poaceae), consumed by Hawaiian green sea turtles (Chelonia mydas): Evidence for nutritional benefits",2015,Pacific Science 69(1): 48-57. doi:10.2984/69.1.3,PSD,Journal,,https://doi.org/10.2984/69.1.3
"Parrish FA, Hayman NT, Kelley C, Boland RC",Acoustic tagging and monitoring of cultured and wild juvenile crimson jobfish (Pristipomoides filamentosus) in a nursery habitat,2015,Fishery Bulletin 113(3): 234-241. doi:10.7755/FB.113.3.1,PSD,Journal,,https://doi.org/10.7755/fb.113.3.1
"Coral Reef Ecosystem Division, Pacific Islands Fisheries Science Center, NOAA Fisheries",Reef fish surveys main Hawaiian Islands 2015.  Fish monitoring brief.,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-017, 2 p",CRED,Data Report,,https://doi.org/10.7289/v59p2zm6
"Demer DA, Berger L, Bernasconi M, Bethke E, Boswell K, Chu D, Domokos R, et al.",Calibration of acoustic instruments,2015,"ICES Cooperative Research Report No. 326, 133 p",EOD,Journal,,
"Kolinski SP, Cruce J, Parker DM, Balazs GH, Clarke R","Migrations and conservation implications of post-nesting green turtles from Gielop Island, Ulithi Atoll, Federated States of Micronesica",2015,Micronesica 2014-04: 1-9,PSD,Journal,,
"Bradford AL, Lyman E",Injury determinations for humpback whales and other cetaceans reported to NOAA response networks in the Hawaiian Islands during 2007-2012,2015,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-45, 29 p. doi:10.7289/V5TX3CB1",PSD,Tech Memo,,https://doi.org/10.7289/v5tx3cb1
"Parker DM, Balazs GH, Frutchey K, Kabua E, Langridik M, Boktok K",Conservation considerations revealed by the movements of post-nesting green turtles from the Republic of the Marshall Islands,2015,Micronesica 2015(3): 1-9,PSD,Journal,,
"Ehses JS, Rooney JJ",Depth derivation using multispectral WorldView-2 satellite imagery,2015,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-46, 24 p. doi:10.7289/V5668B40",CRED,Tech Memo,,https://doi.org/10.7289/v5668b40
"Forney KA, Becker EA, Foley DG, Barlow J, Oleson EM",Habitat-based models of cetacean density and distribution in the central North Pacific,2015,Endangered Species Research 27: 1-20. doi:10.3354/esr00632,PSD,Journal,,https://doi.org/10.3354/esr00632
"Lehodey P, Conchon A, Senina I, Domokos R, Calmettes B, Jouanno J, Hernandez O, Kloser R",Optimization of a micronekton model with acoustic data,2015,ICES Journal of Marine Science. doi:10.1093/icesjms/fsu233,EOD,Journal,,https://doi.org/10.1093/icesjms/fsu233
Andrews AH,Lead-radium dating of Pacific cod (Gadus macrocephalus) - validation of the young-fish scenario,2015,Marine and Freshwater Research. doi:10.1071/MF15228,FRMD,Journal,,https://doi.org/10.1071/MF15228
Pan M,"Economic performance and status of American Samoa longline fishery, 2014",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-015, 9 p","ESD, SOCIO",Internal Report,economics,
"Boggs CH, Gonzales DP, Kokubun RM","Marine mammals reported under catch lost to predators on fishermen's commercial catch reports to the State of Hawaii, 2003-2014",2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-006, 14 p. doi:10.7289/v5pr7szm",FRMD,Data Report,,https://doi.org/10.7289/v5pr7szm
"McCoy K, Williams I, Heenan A",A comparison of rapid visual assessments and photo-quadrat analyses to monitor coral reef habitats,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-011, 13 p. + Appendix. doi:10.7289/V52805K5",CRED,Data Report,,https://doi.org/10.7289/v52805k5
O'Malley J,A review of the Cooperative Hawaiian Bottomfish Tagging Program of the Pacific Islands Fisheries Science Center and the Pacific Islands Fisheries Group,2015,"Pacific Islands Fisheries Science Center Administrative Report H-15-05, 36 p. doi:10.7289/V59W0CF7","FRMD, FBSAB",Administrative Report,,https://doi.org/10.7289/v59w0cf7
"Nadon MO, Ault JS, Williams ID, Smith SG, DiNardo GT",Length-based assessent of coral reef fish populations in the main and Northwestern Hawaiian islands,2015,PLoS ONE 10(8):e0133960. doi:10.1371/journal.pone.0133960,ESD,Journal,,https://doi.org/10.1371/journal.pone.0133960
"Baird RW, Mahaffy SD, Gorgone AM, Cullins T, McSweeney DJ, Oleson EM, Bradford AL, Barlow J, Webster DL",False killer whales and fisheries interactions in Hawaiian waters: Evidence for sex bias and variation among populations and social groups,2015,Marine Mammal Science. 31(2):579-590. doi:10.1111/mms.12177,PSD,Journal,,https://doi.org/10.1111/mms.12177
"Francke D, TRP Staff - Protected Species Division, National Marine Fisheries Service, Pacific Islands Fisheries Science Center",Marine turtle strandings in the Hawaiian islands January - December 2014,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-008, 21  p","PSD, MTBAP",Internal Report,,
"Williams ID, Baum JK, Heenan A, Hanson KM, Nadon MO, Brainard RE","Human, oceanographic and habitat drivers of central and western Pacific coral reef fish assemblages",2015,PLoS ONE 10(4): e0120516. doi:10.1371/journal.pone.0120516,"CRED, FRMD, FBSAB",Journal,,https://doi.org/10.1371/journal.pone.0120516
Mercer T,"Hawaiian monk seal use of Makaha Beach Park, Oahu",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-038, 3 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Hanalei Bay, Kauai",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-037, 2 p",PSD,Internal Report,,
"Fisheries Research and Monitoring Division, Pacific Islands Fisheries Science Center, NOAA Fisheries",PIFSC report on the Hawaii Limited-entry Longline Fishery for January to June 2015,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-022, 10 p",FRMD,Data Report,,https://doi.org/10.25923/td8f-dg24
"Tsuda RT, Vroom PS, Page-Albins KN, Giuseffi L","Marine benthic algae from seamounts along the Mariana Islands, Western Pacific",2015,Micronesica. 2015-04:1-19,SOD,Journal,,
"Pacific Islands Fisheries Science Center, NOAA Fisheries","2015 Annual Report to the Western and Central Pacific Fisheries Commission: Part I. Information on fisheries, research, and statistics",2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-016, 42 p. doi:10.7289/V5/DR-15-016",,Data Report,,https://doi.org/10.7289/v5/dr-15-016
"Coral Reef Ecosystem Division, Pacific Islands Fisheries Science Center, NOAA Fisheries",Pacific Reef Assessment and Monitoring Program.  Fish monitoring brief:  Pacific Remote Island Areas 2015,2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-012, 2 p. doi:10.7289/V5G44N8S",CRED,Data Report,,https://doi.org/10.7289/v5g44n8s
"Fisheries Monitoring Branch, Pacific Islands Fisheries Science Center","The Hawaii-based Longline Logbook Summary Report, January-December 2014",2015,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-15-007, 14 p. doi:10.7289/v5z899d2",FMB,Data Report,,https://doi.org/10.7289/v5z899d2
"Abecassis M, Polovina J, Baird RW, Copeland A, Drazen JC, Domokos R, Oleson E, Jia Y, Schorr GS, Webster DL, Andrews RD",Characterizing a foraging hotspot for short-finned pilot whales and Blainville's beaked whales located off the west side of Hawaii Island using tagging and oceanographic data,2015,PLoS ONE 10(11): e0142628. doi:10.1371/journal.pone.0142628,"ESD, EOD",Journal,,https://doi.org/10.1371/journal.pone.0142628
"Bisack KD, Squires DE, Lipton DW, Hilger JR, Holland DS, Johnson DH, Lee M-Y, Lent R, Lew DK, Magnusson G, Pan M, Queirolo LE, Stohs S, Speir CL, Wallmo KA","Proceedings of the 2014 NOAA Economics of Protected Resources Workshop, September 9-11, 2014, La Jolla, California",2015,"U.S. Dept. of Commerce, NOAA Technical Memorandum, NMFS NE-233, 179 p. doi:10.7289/v5qr4v3d","SE, ESD",Tech Memo,economics,https://doi.org/10.7289/v5qr4v3d
"Richmond L, Kotowicz D, Hospital J",Monitoring socioeconomic impacts of Hawai'i's 2010 bigeye tuna closure: Complexities of local management in a global fishery,2015,Ocean and Coastal Management 106: 87-96. doi:10.1016/j.ocecoaman.2015.01.015,SE,Journal,,https://doi.org/10.1016/j.ocecoaman.2015.01.015
"Richmond L, Kotowicz D",Equity and access in marine protected areas: The history and future of 'traditional indigenous fishing' in the Marianas Trench Marine National Monument,2015,Applied Geography 59: 117-124. doi:10.1016/j.apgeog.2014.11.007 ,SE,Journal,,https://doi.org/10.1016/j.apgeog.2014.11.007
"Polovina JJ, Howell EA, Kobayashi DR, Seki MP",The Transition Zone Chlorophyll Front updated: advances from a decade of research,2015,Progress in Oceanography. doi:10.1016/j.pocean.2015.01.006 (In Press),EOD,Journal,,https://doi.org/10.1016/j.pocean.2015.01.006
Pacific Islands Fisheries Science Center,Marine Debris: Removal and Assessment in the Northwestern Hawaiian Islands: 2014,2015,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-15-003, 8 p","ESD, CRED","Report, Special Publication",,https://doi.org/10.25923/9dzx-f595
"Pan M, Walden J",Measuring productivity in a shared stock fishery: a case study of the Hawaii longline fishery,2015,Marine Policy 62: 302-308. doi:10.1016/j.marpol.2015.07.018,"ESD, SE",Journal,,https://doi.org/10.1016/j.marpol.2015.07.018
"DeCarlo TM, Cohen AL, Barkley HC, Cobban Q, Young C, Shamberger KE, Brainard RE, Golbuu Y",Coral macrobioerosion is accelerated by ocean acidification and nutrients,2015,Geology 43(1): 7-10. doi:10.1130/G36147.1,CRED,Journal,,https://doi.org/10.1130/g36147.1
Francke D,Resighting of turtles captured at Pearl and Hermes Reef,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-044, 13 p",PSD,Internal Report,,
Mercer T,"Hawaiian monk seal use of Kaanapali, Maui",2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-043, 3 p",PSD,Internal Report,,
McCracken M,Estimation of incidental interactions with seabirds in the 2014 Hawaii deep-set longline fishery,2015,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-15-042, 4 p",FRMD,Internal Report,,
